City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Dingle,PH,10.9995,122.6711,74.34,94,100,1.16,overcast clouds
337,Richmond,US,37.5538,-77.4603,81.39,79,90,4.61,overcast clouds
338,Boa Vista,BR,2.8197,-60.6733,91.38,46,20,9.22,few clouds
339,Katima Mulilo,NA,-17.5,24.2667,76.23,40,59,4.12,broken clouds
340,Honiara,SB,-9.4333,159.95,84.04,66,15,4.97,few clouds
341,Kieta,PG,-6.2167,155.6333,80.87,79,100,1.77,overcast clouds
342,Magadan,RU,59.5667,150.8,26.92,52,0,8.19,clear sky
343,Jambi,ID,-1.6,103.6167,73.92,97,100,1.41,overcast clouds
344,Goderich,CA,43.7501,-81.7165,66.04,82,19,10.36,few clouds
345,Mangai,CD,-4.05,19.5333,68.11,98,96,2.55,overcast clouds
